ISO Code,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Source (2022-04),Source (2021-10),Source,Region,Variable,Unit,Service,Mode,Vehicle Type,Technology,Fuel,ID
AFG,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
ARM,Armenia,,,,,,100.0,91.0,99.0,76.0,64.0,58.0,35.0,27.0,19.0,22.0,21.0,18.0,16.0,15.0,19.0,21.0,23.0,24.0,24.0,24.0,23.0,25.0,24.0,23.0,23.0,12.0,,"Statistical Committee, https://www.armstat.am/file/doc/99526893.pdf",https://www.armstat.am/file/doc/698.pdf,Asian Transport Outlook National Database,Non-EU Europe,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
AUS,Australia,17730.0,17040.0,16570.0,16510.0,16309.0,16100.0,16620.0,16430.0,16590.0,16650.0,17000.0,17260.0,17350.0,17690.0,17760.0,17840.0,18270.0,18530.0,18880.0,19240.0,19540.0,19930.0,20410.0,20770.0,21170.0,21300.0,21630.0,22090.0,22530.0,22080.0,16810.0,12970.0,https://www.bitre.gov.au/sites/default/files/documents/Bitre-yearbook-2021.pdf,https://www.bitre.gov.au/sites/default/files/documents/BITRE_2019_YEARBOOK.pdf,Asian Transport Outlook National Database,Australia,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
AZE,Azerbaijan,7037.0,7156.0,6741.0,6258.0,5103.0,4605.0,4942.0,6419.0,8243.0,8544.0,8782.0,9078.0,9221.0,9420.0,9803.0,10371.0,11210.0,12241.0,13319.0,14491.0,15752.0,17280.0,18939.0,20663.0,21696.0,22455.0,23016.0,23431.0,23782.0,24400.0,16007.0,,https://www.stat.gov.az/menu/6/statistical_yearbooks/?lang=en,https://www.stat.gov.az,Asian Transport Outlook National Database,Non-EU Europe,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
BGD,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
BTN,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
BRN,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
KHM,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
CHN,People's Republic of China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,China,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
COK,Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
FJI,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
GEO,Georgia,8714.0,,,,,1954.0,,,,,4590.0,4870.0,5065.0,5264.0,5320.0,5369.0,5321.0,5422.0,5579.0,5733.0,5884.0,6049.0,6218.0,6392.0,6571.0,6756.0,6945.0,7139.0,7339.0,7545.0,5855.0,,https://www.geostat.ge/media/42476/Yearbook_2021.pdf,https://www.geostat.ge/media/20934/Yearbook_2015.pdf,Asian Transport Outlook National Database,Non-EU Europe,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
IND,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,India,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
IDN,Indonesia,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,,,,,,"DGLT, Statistical Yearbook , http://dephub.go.id/;",Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
JPN,Japan,,,,,,73911.0,72378.0,71097.0,70624.0,69394.0,69530.0,69438.0,70487.0,71117.0,71566.0,72781.0,72621.0,71982.0,73260.0,71205.0,69955.0,66696.0,68457.0,67526.0,65649.0,64935.0,63737.0,63524.0,64108.0,,,,,https://www.mlit.go.jp/common/001358484.pdf,Asian Transport Outlook National Database,Japan,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
KAZ,Kazakhstan,,,,,,,,,,,,,,55963.0,59539.0,64051.0,70621.0,72369.0,74007.0,81141.0,104079.0,136054.0,151403.0,166441.0,174770.0,182781.0,194590.0,182064.0,176966.0,181193.0,57758.0,,https://stat.gov.kz/edition/publication/collection,https://stat.gov.kz,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
KIR,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
KGZ,Kyrgyz Republic,5255.0,5254.0,3729.0,2160.0,2071.0,2313.0,2675.0,3234.0,3861.0,4078.0,4597.0,4974.0,5026.0,5208.0,5554.0,5789.0,5987.0,6263.0,6579.0,6891.0,6910.0,7023.0,7546.0,7795.0,8082.0,8506.0,8945.0,9051.0,9442.0,10639.0,5884.0,7193.0,,National Statistics Committee of the Kyrgyz Republic,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
LAO,Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
MYS,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
MDV,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
MHL,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
FSM,Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
MNG,Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
MMR,Myanmar,,1525.0,,,,,2567.0,,,,,1355.0,,,2182.0,2195.0,2259.0,2298.0,2407.0,2463.0,2462.0,2120.0,2128.0,2126.0,1732.0,777.0,726.0,709.0,702.0,292.0,,,,https://www.csostat.gov.mm/,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
NIU,Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
NRU,Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
NPL,Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
NZL,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
PAK,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
PLW,Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
PNG,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
KOR,Republic of Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,South Korea,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
WSM,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
SGP,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
SLB,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
LKA,Sri Lanka,,,,,,,,,,,,,,,,,,,44285.0,44281.0,51992.0,53900.0,55235.0,56679.0,60846.0,,65486.0,50812.0,55460.0,,,,https://www.ntc.gov.lk/corporate/pdf/2021/2019stat/Statistics2019-EN.pdf,https://ntc.gov.lk/corporate/pdf/NTCEnglishReport2017.pdf,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
TJK,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
THA,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
TLS,Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
TON,Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
TKM,Turkmenistan,,,,,,,,,,,79.0,,,,,,,146.0,175.0,146.0,148.0,187.0,,,,,,,,,,,,https://ceic-portal.net/system/files/kmp/public/statistical-yearbook-of-turkmenistanpdf.pdf,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
TUV,Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
UZB,Uzbekistan,,,,,,,,,,,,,,,,,,,,,3930.0,3620.0,3710.0,4010.0,4120.0,22.0,23.0,14.0,15.0,19.0,,,,State Statistics Committee of the Republic of Uzbekistan,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
VUT,Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
VNM,Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
HKG,"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Transport Outlook National Database,China,Freight (TEU),Number,Freight,Shipping,Container,All,All,I002
