ISO Code,Country,2013,2018,2019,Source,Region,Variable,Unit,Service,Mode,Vehicle Type,Technology,Fuel,ID
AFG,Afghanistan,1.0,1.0,1.0,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
ARM,Armenia,,,,Asian Transport Outlook National Database,Non-EU Europe,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
AUS,Australia,103.0,144.0,144.0,Asian Transport Outlook National Database,Australia,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
AZE,Azerbaijan,2.0,4.0,4.0,Asian Transport Outlook National Database,Non-EU Europe,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
BGD,Bangladesh,0.0,13.0,0.0,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
BTN,Bhutan,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
BRN,Brunei Darussalam,2.0,2.0,2.0,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
KHM,Cambodia,2.0,6.0,8.0,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
CHN,People's Republic of China,220.0,259.0,397.0,Asian Transport Outlook National Database,China,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
COK,Cook Islands,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
FJI,Fiji,2.0,4.0,4.0,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
GEO,Georgia,1.0,4.0,4.0,Asian Transport Outlook National Database,Non-EU Europe,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
IND,India,73.0,108.0,108.0,Asian Transport Outlook National Database,India,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
IDN,Indonesia,33.0,56.0,57.0,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
JPN,Japan,132.0,171.0,186.0,Asian Transport Outlook National Database,Japan,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
KAZ,Kazakhstan,5.0,7.0,7.0,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
KIR,Kiribati,,,,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
KGZ,Kyrgyz Republic,2.0,2.0,2.0,Asian Transport Outlook National Database,Other Asia-Pacific,Sales (New Vehicles),10^6 vehicle / yr,Freight,Road,Medium Truck,All,All,I004
